y,C_l,aoa,RollRate,span
0.0008217156947590065,9.640907835991378,0,60,120
0.004099575584688153,7.0821843256339525,0,60,120
0.010619382445656116,6.335160154699515,0,60,120
0.020309703909336858,6.0105698496354565,0,60,120
0.03306437078594408,5.8414044354292605,0,60,120
0.04874364027609209,5.743106127573299,0,60,120
0.06717572702214875,5.681050804014742,0,60,120
0.0881586852245621,5.638614490671961,0,60,120
0.1114626212023003,5.606871554599372,0,60,120
0.13683221215612903,5.580577108201567,0,60,120
0.16398950353862995,5.556375543996123,0,60,120
0.19263695438238787,5.5319144375170275,0,60,120
0.222460697221094,5.505363773493834,0,60,120
0.2531339768871881,5.475127604810679,0,60,120
0.28432073050985196,5.4396479195588645,0,60,120
0.315679269490148,5.397248401273482,0,60,120
0.3468660231128119,5.345986992273733,0,60,120
0.377539302778906,5.28349536370179,0,60,120
0.40736304561761216,5.2067868141818545,0,60,120
0.43601049646137,5.112014971994186,0,60,120
0.46316778784387097,4.994166490348836,0,60,120
0.4885373787976997,4.846675155504501,0,60,120
0.5118413147754378,4.660958718223116,0,60,120
0.5328242729778512,4.425915221630966,0,60,120
0.5512563597239079,4.127495090705432,0,60,120
0.5669356292140558,3.7486312012325786,0,60,120
0.5796902960906631,3.2701503081057783,0,60,120
0.5893806175543439,2.674071998200467,0,60,120
0.5959004244153119,1.953527097040951,0,60,120
0.5991782843052409,1.1662813774745728,0,60,120
0.6,0.0,0,60,120
