y,C_l
0.0006847630789658388,5.781052480885712
0.0034163129872401277,5.781035970586219
0.008849485371380097,5.780918884214411
0.016924753257780714,5.7805482438264235
0.027553642321620067,5.779706612530681
0.040619700230076744,5.778119024443109
0.05597977251845729,5.775459299511717
0.07346557102046843,5.77135366937694
0.09288551766858359,5.765379872087323
0.11402684346344086,5.757060223264499
0.13665791961552495,5.745847417822584
0.16053079531865655,5.731101812336487
0.18538391435091167,5.7120586078392135
0.21094498073932338,5.687782668353034
0.2369339420915433,5.657107665920819
0.2630660579084567,5.618554841685846
0.28905501926067656,5.570224941727046
0.31461608564908833,5.5096549342561305
0.33946920468134345,5.433629259515569
0.363342080384475,5.337934382015141
0.38597315653655917,5.21704699445357
0.40711448233141645,5.0637537435816276
0.42653442897953153,4.86872015809959
0.4440202274815427,4.620069856102739
0.45938029976992323,4.303121447229742
0.4724463576783799,3.900593377437648
0.4830752467422193,3.393895661913431
0.4911505146286199,2.766816370576728
0.4965836870127599,2.0155704977225524
0.4993152369210342,1.2025377953825185
0.5,0.0
