y,C_l,aoa,RollRate,span
0.0009586683105521742,9.738329689440482,0,60,140
0.004782838182136179,7.160049028798903,0,60,140
0.012389279519932135,6.4133195113743104,0,60,140
0.023694654560892998,6.092324120616562,0,60,140
0.03857509925026809,5.927104400342974,0,60,140
0.05686758032210744,5.832376296757407,0,60,140
0.0783716815258402,5.773407262319882,0,60,140
0.10285179942865579,5.7336646369284345,0,60,140
0.13003972473601702,5.704373075726902,0,60,140
0.15963758084881718,5.680446142859039,0,60,140
0.19132108746173493,5.658678311226759,0,60,140
0.22474311344611914,5.63685609930774,0,60,140
0.2595374800912763,5.613279870301234,0,60,140
0.2953229730350527,5.586479744505781,0,60,140
0.33170751892816064,5.555023685372323,0,60,140
0.3682924810718393,5.517364390604507,0,60,140
0.40467702696494723,5.471692792953558,0,60,140
0.44046251990872365,5.415774563411702,0,60,140
0.47525688655388076,5.346748205302127,0,60,140
0.5086789125382649,5.2608621357576535,0,60,140
0.5403624191511828,5.153125829094264,0,60,140
0.569960275263983,5.016849960757773,0,60,140
0.5971482005713441,4.8430592985268675,0,60,140
0.6216283184741598,4.6197941412712495,0,60,140
0.6431324196778925,4.331400714244257,0,60,140
0.6614249007497318,3.958106682444981,0,60,140
0.676305345439107,3.4766073803718,0,60,140
0.6876107204800679,2.8633864383766268,0,60,140
0.6952171618178637,2.1058614725752176,0,60,140
0.6990413316894477,1.262417314202553,0,60,140
0.7,0.0,0,60,140
